Circuit,Year,Driver,LapNumber,Stint,LapInStint,Compound,LapTimeSec,FuelRemainingKg,FuelPenaltySec,FuelCorrectedPaceSec,GapAheadSec,SessionProgression,TrackTemp,AirTemp,ObservedLapDeltaSec
Bahrain,2023,TSU,4.0,1.0,4.0,SOFT,99.95,97.8,3.2274000000000003,99.7124,0.5059999999994034,0.07017543859649122,31.0,27.2,2.927599999999998
Bahrain,2023,HUL,4.0,1.0,7.0,SOFT,101.004,97.8,3.2274000000000003,100.7664,0.7260000000005675,0.07017543859649122,31.0,27.2,4.1440000000000055
Bahrain,2023,PIA,4.0,1.0,4.0,SOFT,100.718,97.8,3.2274000000000003,100.4804,0.9059999999999491,0.07017543859649122,31.0,27.2,0.0027000000000043656
Bahrain,2023,ZHO,4.0,1.0,4.0,SOFT,100.853,97.8,3.2274000000000003,100.6154,0.5540000000000873,0.07017543859649122,31.0,27.2,3.022999999999996
Bahrain,2023,DEV,4.0,1.0,4.0,SOFT,100.373,97.8,3.2274000000000003,100.1354,0.9110000000000582,0.07017543859649122,31.0,27.2,-0.1798999999999893
Bahrain,2023,MAG,4.0,1.0,4.0,HARD,100.773,97.8,3.2274000000000003,100.5354,1.0670000000000073,0.07017543859649122,31.0,27.2,1.9369999999999976
Bahrain,2023,VER,5.0,1.0,8.0,SOFT,98.035,96.0,3.168,97.738,15.0,0.08771929824561403,31.0,27.2,0.6039999999999992
Bahrain,2023,LEC,5.0,1.0,5.0,SOFT,98.664,96.0,3.168,98.367,4.117000000000189,0.08771929824561403,31.0,27.2,0.054199999999994475
Bahrain,2023,PER,5.0,1.0,8.0,SOFT,98.404,96.0,3.168,98.107,0.7899999999999636,0.08771929824561403,31.0,27.2,1.112799999999993
Bahrain,2023,SAI,5.0,1.0,8.0,SOFT,99.128,96.0,3.168,98.831,1.8299999999999272,0.08771929824561403,31.0,27.2,0.091700000000003
Bahrain,2023,HAM,5.0,1.0,8.0,SOFT,99.335,96.0,3.168,99.038,1.4600000000000364,0.08771929824561403,31.0,27.2,0.11939999999999884
Bahrain,2023,RUS,5.0,1.0,8.0,SOFT,99.549,96.0,3.168,99.25200000000001,0.9479999999994106,0.08771929824561403,31.0,27.2,0.3048000000000144
Bahrain,2023,ALO,5.0,1.0,8.0,SOFT,99.662,96.0,3.168,99.36500000000001,1.555000000000291,0.08771929824561403,31.0,27.2,0.11400000000000432
Bahrain,2023,STR,5.0,1.0,8.0,SOFT,99.144,96.0,3.168,98.84700000000001,1.3659999999999854,0.08771929824561403,31.0,27.2,-0.48989999999999156
Bahrain,2023,BOT,5.0,1.0,5.0,SOFT,101.033,96.0,3.168,100.736,1.287000000000262,0.08771929824561403,31.0,27.2,1.3378000000000014
Bahrain,2023,OCO,5.0,1.0,8.0,SOFT,100.281,96.0,3.168,99.98400000000001,1.7839999999996508,0.08771929824561403,31.0,27.2,0.4140000000000157
Bahrain,2023,ALB,5.0,1.0,5.0,SOFT,100.606,96.0,3.168,100.309,1.2460000000000946,0.08771929824561403,31.0,27.2,3.0777999999999963
Bahrain,2023,SAR,5.0,1.0,5.0,SOFT,100.902,96.0,3.168,100.605,0.7120000000004438,0.08771929824561403,31.0,27.2,3.675200000000004
Bahrain,2023,TSU,5.0,1.0,5.0,SOFT,101.131,96.0,3.168,100.834,0.7349999999996726,0.08771929824561403,31.0,27.2,4.108599999999996
Bahrain,2023,HUL,5.0,1.0,8.0,SOFT,101.002,96.0,3.168,100.705,0.5969999999997526,0.08771929824561403,31.0,27.2,4.141999999999996
Bahrain,2023,PIA,5.0,1.0,5.0,SOFT,100.862,96.0,3.168,100.565,0.7660000000005311,0.08771929824561403,31.0,27.2,0.1466999999999956
Bahrain,2023,ZHO,5.0,1.0,5.0,SOFT,100.814,96.0,3.168,100.517,0.5059999999994034,0.08771929824561403,31.0,27.2,2.9839999999999947
Bahrain,2023,DEV,5.0,1.0,5.0,SOFT,100.63,96.0,3.168,100.333,0.7229999999999563,0.08771929824561403,31.0,27.2,0.0771000000000015
Bahrain,2023,MAG,5.0,1.0,5.0,HARD,101.34,96.0,3.168,101.043,1.7770000000000437,0.08771929824561403,31.0,27.2,2.504000000000005
Bahrain,2023,VER,6.0,1.0,9.0,SOFT,97.986,94.2,3.1086,97.62960000000001,15.0,0.10526315789473684,30.9,27.1,0.5550000000000068
Bahrain,2023,LEC,6.0,1.0,6.0,SOFT,98.572,94.2,3.1086,98.21560000000001,4.703000000000429,0.10526315789473684,30.9,27.1,-0.037800000000004275
Bahrain,2023,PER,6.0,1.0,9.0,SOFT,98.718,94.2,3.1086,98.36160000000001,0.9359999999996944,0.10526315789473684,30.9,27.1,1.4268
Bahrain,2023,SAI,6.0,1.0,9.0,SOFT,99.474,94.2,3.1086,99.11760000000001,2.58600000000024,0.10526315789473684,30.9,27.1,0.43770000000000664
Bahrain,2023,HAM,6.0,1.0,9.0,SOFT,99.756,94.2,3.1086,99.3996,1.7419999999992797,0.10526315789473684,30.9,27.1,0.5404000000000053
Bahrain,2023,RUS,6.0,1.0,9.0,SOFT,99.493,94.2,3.1086,99.1366,0.6850000000004002,0.10526315789473684,30.9,27.1,0.2488000000000028
Bahrain,2023,ALO,6.0,1.0,9.0,SOFT,99.674,94.2,3.1086,99.31760000000001,1.7359999999998763,0.10526315789473684,30.9,27.1,0.12600000000000477
Bahrain,2023,STR,6.0,1.0,9.0,SOFT,99.714,94.2,3.1086,99.3576,1.405999999999949,0.10526315789473684,30.9,27.1,0.08010000000000161
Bahrain,2023,BOT,6.0,1.0,6.0,SOFT,100.265,94.2,3.1086,99.9086,1.8380000000006476,0.10526315789473684,30.9,27.1,0.5698000000000008
Bahrain,2023,OCO,6.0,1.0,9.0,SOFT,100.331,94.2,3.1086,99.97460000000001,1.8499999999994543,0.10526315789473684,30.9,27.1,0.46400000000001285
Bahrain,2023,ALB,6.0,1.0,6.0,SOFT,100.744,94.2,3.1086,100.3876,1.6590000000005602,0.10526315789473684,30.9,27.1,3.2158000000000015
Bahrain,2023,SAR,6.0,1.0,6.0,SOFT,100.791,94.2,3.1086,100.4346,0.6889999999993961,0.10526315789473684,30.9,27.1,3.5641999999999996
Bahrain,2023,TSU,6.0,1.0,6.0,SOFT,100.886,94.2,3.1086,100.5296,0.8299999999999272,0.10526315789473684,30.9,27.1,3.863599999999991
Bahrain,2023,HUL,6.0,1.0,9.0,SOFT,101.002,94.2,3.1086,100.6456,0.7130000000006476,0.10526315789473684,30.9,27.1,4.141999999999996
Bahrain,2023,PIA,6.0,1.0,6.0,SOFT,101.111,94.2,3.1086,100.75460000000001,0.875,0.10526315789473684,30.9,27.1,0.39570000000000505
Bahrain,2023,ZHO,6.0,1.0,6.0,SOFT,101.156,94.2,3.1086,100.79960000000001,0.5509999999994761,0.10526315789473684,30.9,27.1,3.3260000000000076
Bahrain,2023,DEV,6.0,1.0,6.0,SOFT,101.125,94.2,3.1086,100.7686,0.7379999999993743,0.10526315789473684,30.9,27.1,0.572100000000006
Bahrain,2023,MAG,6.0,1.0,6.0,HARD,101.125,94.2,3.1086,100.7686,1.7770000000000437,0.10526315789473684,30.9,27.1,2.2890000000000015
Bahrain,2023,VER,7.0,1.0,10.0,SOFT,98.021,92.4,3.0492000000000004,97.6052,15.0,0.12280701754385964,30.9,27.1,0.5900000000000034
Bahrain,2023,LEC,7.0,1.0,7.0,SOFT,98.691,92.4,3.0492000000000004,98.2752,5.373000000000502,0.12280701754385964,30.9,27.1,0.0811999999999955
Bahrain,2023,PER,7.0,1.0,10.0,SOFT,98.804,92.4,3.0492000000000004,98.3882,1.0489999999999782,0.12280701754385964,30.9,27.1,1.5127999999999986
Bahrain,2023,SAI,7.0,1.0,10.0,SOFT,99.502,92.4,3.0492000000000004,99.08619999999999,3.2839999999996508,0.12280701754385964,30.9,27.1,0.4656999999999982
Bahrain,2023,HAM,7.0,1.0,10.0,SOFT,99.757,92.4,3.0492000000000004,99.3412,1.9970000000002983,0.12280701754385964,30.9,27.1,0.5414000000000101
Bahrain,2023,RUS,7.0,1.0,10.0,SOFT,100.056,92.4,3.0492000000000004,99.6402,0.9840000000003783,0.12280701754385964,30.9,27.1,0.8118000000000052
Bahrain,2023,ALO,7.0,1.0,10.0,SOFT,99.729,92.4,3.0492000000000004,99.3132,1.4089999999996508,0.12280701754385964,30.9,27.1,0.18099999999999739
Bahrain,2023,STR,7.0,1.0,10.0,SOFT,99.945,92.4,3.0492000000000004,99.52919999999999,1.6220000000002983,0.12280701754385964,30.9,27.1,0.31109999999999616
Bahrain,2023,BOT,7.0,1.0,7.0,SOFT,100.564,92.4,3.0492000000000004,100.14819999999999,2.456999999999425,0.12280701754385964,30.9,27.1,0.8687999999999931
Bahrain,2023,OCO,7.0,1.0,10.0,SOFT,100.488,92.4,3.0492000000000004,100.0722,1.774000000000342,0.12280701754385964,30.9,27.1,0.6210000000000093
