Compound,LapInStint,MeanIsolatedPaceDeltaSec,StdDevSec,Lower1SigmaSec,Upper1SigmaSec,SampleCount
SOFT,2,0.4400229516636287,0.8522992666323308,-0.4122763149687021,1.2923222182959595,16
SOFT,3,0.5820919492645047,1.2007869349706053,-0.6186949857061006,1.78287888423511,26
SOFT,4,0.5176074141141218,1.014741923194495,-0.49713450908037315,1.5323493373086168,28
SOFT,5,0.7109355942548816,1.1021080375587882,-0.39117244330390655,1.8130436318136698,44
SOFT,6,0.6484835964873433,1.166522009039729,-0.5180384125523857,1.8150056055270722,53
SOFT,7,0.6070977304312953,1.084743480531743,-0.47764575010044774,1.6918412109630383,53
SOFT,8,0.6976275459246519,1.05903930280649,-0.361411756881838,1.7566668487311419,53
SOFT,9,0.8822588599655844,1.1571244364486832,-0.27486557648309884,2.0393832964142677,51
SOFT,10,0.9000121441185139,1.0451765273408065,-0.14516438322229253,1.9451886714593205,48
SOFT,11,0.9233849065378126,1.1125698848058294,-0.18918497826801683,2.035954791343642,41
SOFT,12,0.7982772525304626,0.8799026264903398,-0.08162537395987723,1.6781798790208025,38
SOFT,13,0.8043241118833792,0.8781713335976824,-0.07384722171430325,1.6824954454810617,36
SOFT,14,1.0072604491013588,0.858917587393179,0.14834286170817979,1.8661780364945377,36
SOFT,15,0.8920260771869547,0.7808401045492988,0.11118597263765595,1.6728661817362536,32
SOFT,16,1.1068654492912733,0.9685156242953092,0.13834982499596404,2.0753810735865823,29
SOFT,17,0.9504835957042403,0.8990453303744846,0.051438265329755706,1.849528926078725,22
SOFT,18,1.1108586681488661,0.9805636802831293,0.1302949878657368,2.0914223484319954,17
SOFT,19,1.0403776473658888,0.8110106022417396,0.22936704512414918,1.8513882496076284,14
SOFT,20,0.8927307185039801,0.7280296414359528,0.16470107706802728,1.620760359939933,11
SOFT,21,0.9973731599041654,0.9678399212289881,0.02953323867517732,1.9652130811331534,10
SOFT,22,1.1734508405528508,0.8327949635805931,0.34065587697225763,2.006245804133444,7
SOFT,23,1.3727086218580455,0.9373052493660147,0.43540337249203087,2.31001387122406,6
SOFT,24,1.387770964253276,1.0987339353340617,0.28903702891921434,2.486504899587338,6
MEDIUM,2,0.21370852577363322,0.5952029064180305,-0.38149438064439734,0.8089114321916637,50
MEDIUM,3,0.12489563644627516,0.6716505418449985,-0.5467549053987233,0.7965461782912737,52
MEDIUM,4,0.3464806281429414,0.7254395947868465,-0.3789589666439051,1.071920222929788,67
MEDIUM,5,0.3506997273791892,0.6624134302114439,-0.31171370283225475,1.0131131575906331,66
MEDIUM,6,0.36963758051685797,0.7227428175746061,-0.35310523705774816,1.0923803980914641,66
MEDIUM,7,0.39702499842926764,0.6662651937789601,-0.26924019534969246,1.0632901922082278,66
MEDIUM,8,0.43021384875352775,0.7551136735597825,-0.3248998248062548,1.1853275223133104,65
MEDIUM,9,0.4946268491886307,0.8114112898454313,-0.3167844406568006,1.306038139034062,65
MEDIUM,10,0.482636769191135,0.7097966160617227,-0.2271598468705877,1.1924333852528577,64
MEDIUM,11,0.6823390888830029,0.7927125336223738,-0.11037344473937094,1.4750516225053767,64
